Country,Dimension ,Indicator,Assessment,Criteria,Explanation,Source,URL,size
Chad,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,The Debt Management Report for 2019,https://finances.gouv.td/index.php/component/k2/item/612-rapport-de-gestion-de-la-dette-pour-l-exercice-2019,https://finances.gouv.td/index.php/component/k2/item/612-rapport-de-gestion-de-la-dette-pour-l-exercice-2019,1
Kiribati,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"The 2020 BL, Appendix 6",http://www.mfed.gov.ki/sites/default/files/FINAL%20BOOK%20AS%20APPROVED_V2.pdf,http://www.mfed.gov.ki/sites/default/files/FINAL%20BOOK%20AS%20APPROVED_V2.pdf,1
Mali,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,The 2020 BL (pages 317 and 303),https://www.finances.gouv.ml/presse/loi-de-finances-2020,https://www.finances.gouv.ml/presse/loi-de-finances-2020,1
Guinea,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Statistical Public Debt Bulletin, 2020 Q1",http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,http://dndapd.mef.gov.gn/images/Documents/BULLETIN_PREMIER_TRIMESTRE_2020.pdf,1
Cabo Verde,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Statistical Public Debt Bulletin,https://www.mf.gov.cv/web/dgt/divida-publica/-/document_library/OFFmm6jRxPME/view/1301047?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME_redirect=https%3A%2F%2Fwww.mf.gov.cv%2Fweb%2Fdgt%2Fdivida-publica%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview,https://www.mf.gov.cv/web/dgt/divida-publica/-/document_library/OFFmm6jRxPME/view/1301047?_com_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME_redirect=https%3A%2F%2Fwww.mf.gov.cv%2Fweb%2Fdgt%2Fdivida-publica%3Fp_p_id%3Dcom_liferay_document_library_web_portlet_DLPortlet_INSTANCE_OFFmm6jRxPME%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview,1
Madagascar,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Statistical Debt Bulletin, June 2020",http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,1
Benin,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Statistical Debt Bulletin 2020 2nd Quarter,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,https://caa.bj/category/publications-et-rapports/bulletins-statistiques-sur-la-dette/,1
Burkina Faso,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Statistical Debt Bulletin,http://tresor.gov.bf/index.php/documents-a-telecharger/publications/bulletin-statistique-de-la-dette,http://tresor.gov.bf/index.php/documents-a-telecharger/publications/bulletin-statistique-de-la-dette,1
Timor-Leste,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"State Budget, 2021, Book 1",https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,https://www.mof.gov.tl/2021-state-budget-book-1/?lang=en,1
Uganda,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Report on Public Debt, Guarantees, Other Financial Liabilities and Grants for FY 2019/20 and Medium-Term Debt Strategy 2020/21 - 2023/24",https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,https://www.finance.go.ug/sites/default/files/Publications/Public%20Debt%20Report%20MTDS%2019-20.pdf,1
Samoa,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Quarterly Public Debt Bulletin, March 2020",https://www.mof.gov.ws/wp-content/uploads/2020/05/QDB-Mar-2020-Final.pdf,https://www.mof.gov.ws/wp-content/uploads/2020/05/QDB-Mar-2020-Final.pdf,1
Zimbabwe,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Quarterly Economic Review, June 2020. Debt statistics in the Mid-Term Budget and Economic Review, 2020 are limited to total public debt stock. The latest Annual Public Debt Bulletin is the 2018 Bulletin",3 links: http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=53:mid-term-reviews&Itemid=759 AND https://www.rbz.co.zw/documents/quarterly_review/2020/QUARTERLY-ECONOMIC-REVIEW-JUNE-2020.pdf AND http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=58:debt-bulletin&Itemid=759,http://www.zimtreasury.gov.zw/index.php?option=com_phocadownload&view=category&id=53:mid-term-reviews&Itemid=759,1
São Tomé and Principe,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Quarterly Bulletin, Management and Monitoring of Public Debt, 1st Semester 2020",https://www.financas.gov.st/index.php/publicacoes/documentos/category/147-publicacoes,https://www.financas.gov.st/index.php/publicacoes/documentos/category/147-publicacoes,1
Moldova,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Sector Debt, State Guarantees and On-Lending, First Semester of 2020",https://mf.gov.md/sites/default/files/Raport%20Q2%20semestrul%202%20a%202020.pdf,https://mf.gov.md/sites/default/files/Raport%20Q2%20semestrul%202%20a%202020.pdf,1
Ethiopia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Public Sector Debt Statistical Bulletin of August 2020,http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,http://www.mofed.gov.et/documents/10182/13981/Public_Sector_Debt_Statistical_Bulletin_No_34+%282015-16+++-++++2019-20%29.pdf/9c7b4810-6a48-41f9-a63c-02fe661e4b15,1
Cambodia,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Statistical Bulletin, Vol. 10, June 30, 2020",https://gdicdm.mef.gov.kh/en/2020/09/15/10193.html,https://gdicdm.mef.gov.kh/en/2020/09/15/10193.html,1
Nicaragua,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Public Debt Report, Q2 2020, October 2020",https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,https://www.bcn.gob.ni/publicaciones/periodicidad/trimestral/deuda/index.php,1
Mozambique,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,Public Debt Report 2019,https://www.mef.gov.mz/index.php/documentos,https://www.mef.gov.mz/index.php/documentos,1
