Country,Dimension ,Indicator,Assessment,Criteria ,Explanation ,Source ,URL ,size
Mali,1. Public Debt Reporting,Time range,No information,5. Not scored,The indicator cannot be assessed: the BL 2021 and 2022 conducted during the month of July present projected debt data at end-December 2020 and 2021,2 links: https://finances.ml/node/327 AND https://finances.ml/node/467,https://finances.ml/node/327,1
Tajikistan,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"The Public Debt Report, 2020",http://moliya.tj/wp-content/uploads/2021/10/2-public-debt-report-for-2020.pdf,http://moliya.tj/wp-content/uploads/2021/10/2-public-debt-report-for-2020.pdf,1
Tanzania,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"The Monthly Economic Review, Sept. 2021, posted on CB website. The latest DMS and DSA published on the MoF website present debt data before the cut-off date (i.e., June 2020)",3 links: https://www.bot.go.tz/Publications/Filter/1 AND https://mof.go.tz/index.php/policy AND https://mof.go.tz/index.php/reports/reports,https://www.bot.go.tz/Publications/Filter/1,1
St. Vincent and the Grenadines,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,The Debt Portfolio Review (2020),http://www.finance.gov.vc/finance/,http://www.finance.gov.vc/finance/,1
Cabo Verde,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Statistical Public Debt Bulletin, 2021-Q1",https://www.mf.gov.cv/documents/92878/0/Boletim+Estat%C3%ADstico+da+D%C3%ADvida+Pública_n+16.pdf/10f4db30-e8c6-c03d-fd3b-7d064f7ffea7?version=1.0&t=1631107428229,https://www.mf.gov.cv/documents/92878/0/Boletim+Estat%C3%ADstico+da+D%C3%ADvida+Pública_n+16.pdf/10f4db30-e8c6-c03d-fd3b-7d064f7ffea7?version=1.0&t=1631107428229,1
Madagascar,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Statistical Debt Bulletin, September 2021",http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,http://www.tresorpublic.mg/?page_id=214&content=temp&type=bsd,1
Côte d'Ivoire,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Statistical Bulletin, 2021-Q1",https://www.tresor.gouv.ci/tres/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-Publique-T1-2021.pdf,https://www.tresor.gouv.ci/tres/wp-content/uploads/2021/06/Bulletin-Statistique-de-la-Dette-Publique-T1-2021.pdf,1
Timor-Leste,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"State Budget, 2022, Book 1",https://www.mof.gov.tl/2022-bb1-panorama-orcamental/?lang=en,https://www.mof.gov.tl/2022-bb1-panorama-orcamental/?lang=en,1
Uganda,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Report on Public Debt, Guarantees, Other Financial Liabilities and Grants for FY 2019/20 and Medium-Term Debt Strategy 2020/21 - 2023/24",https://www.finance.go.ug/publication/quarterly-debt-statistical-bulletin-and-public-debt-portfolio-analysis-march-2021,https://www.finance.go.ug/publication/quarterly-debt-statistical-bulletin-and-public-debt-portfolio-analysis-march-2021,1
São Tomé and Principe,1. Public Debt Reporting,Data accessibility,Single website/ single doc,4. Full,"Quarterly Public Debt Bulletin, 2021-Q1",https://www.financas.gov.st/index.php/publicacoes/documentos/file/1325-boletim-estatistico-da-divida-ate-i-trimestre-2021-final,https://www.financas.gov.st/index.php/publicacoes/documentos/file/1325-boletim-estatistico-da-divida-ate-i-trimestre-2021-final,1
