"","STRUCTURE","STRUCTURE_ID","STRUCTURE_NAME","ACTION","FREQ","Frequency.of.observation","REF_AREA","Reference.area","MEASURE","Measure","UNIT_MEASURE","Unit.of.measure","VERSION","Version","TIME_PERIOD","Time.period","OBS_VALUE","Observation.value","CONF_STATUS","Confidentiality.status","DECIMALS","Decimals","OBS_STATUS","Observation.status","UNIT_MULT","Unit.multiplier"
"1","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUS","Australia","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.1666666,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"2","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","AUT","Austria","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.6666667,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"3","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","BEL","Belgium","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.5555556,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"4","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","CAN","Canada","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,0.58730161,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"5","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DNK","Denmark","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.5158731,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"6","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FIN","Finland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"7","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","FRA","France","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.8492064,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"8","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","DEU","Germany","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"9","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","GRC","Greece","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.7936509,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"10","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","IRL","Ireland","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.2698413,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"11","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","ITA","Italy","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,3.015873,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"12","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","JPN","Japan","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,1.7023809,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"13","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NLD","Netherlands","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,3.3730159,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"14","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","NOR","Norway","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,2.3333333,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
"15","DATAFLOW","OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0)","Strictness of employment protection","I","A","Annual","PRT","Portugal","EPL_OV","Individual and collective dismissals (regular contracts)","0_TO_6","0-6 scale","VERSION1","Version 1 (1985-2019)",1985,NA,5,NA,FALSE,"Free (free for publication)",2,"Two","A","Normal value",0,"Units"
