"Indicator","Country Coverage","Year Coverage","Flag Continuity","Flag Country Coverage","Flag Year Coverage","Year Range","Percentage of Complete Records","Percentage of Complete Records in Last Five Years","Mean","Median","Standard Deviation","Minimum","Maximum","Static Valid Years","Dynamic Valid Years","Static Country Coverage","Dynamic Country Coverage","family_var","family_name"
"wb_aspire_adequacy_benefits",123,25,1,0,1,"1998-2023","92.3%",NA,26.65,25.2968465111793,15.98,0.455201337242043,96.4050211756916,2,4,35,62,"vars_lab","Labor and Social Protection Institutions"
"wb_aspire_coverage",130,25,1,0,1,"1998-2023","100%",NA,50.58,53.8706901353916,25.37,0.514473589852514,99.8990753369824,2,4,35,64,"vars_lab","Labor and Social Protection Institutions"
"bs_bti_q12_1",137,10,1,1,1,"2006-2024","14.5%",NA,4.68,5,1.86,1,10,2,5,137,137,"vars_climate","Energy and Environment Institutions"
"bs_bti_q15_1",137,10,1,1,1,"2006-2024","14.5%",NA,4.67,4,1.86,1,10,2,5,137,137,"vars_hrm","Public Human Resource Management Institutions"
"bs_bti_q2_1",137,10,1,1,1,"2006-2024","14.5%",NA,5.84,6,2.89,1,10,2,5,137,137,"vars_pol","Political Institutions"
"bs_bti_q2_3",137,10,1,1,1,"2006-2024","14.5%",NA,6.1,6,2.73,1,10,2,5,137,137,"vars_social","Social Institutions"
"bs_bti_q3_1",137,10,1,1,1,"2006-2024","14.5%",NA,5.07,5,2.64,1,10,2,5,137,137,"vars_pol","Political Institutions"
"bs_bti_q3_2",137,10,1,1,1,"2006-2024","14.5%",NA,5.01,5,2.33,1,10,2,5,137,137,"vars_leg","Justice Institutions"
"bs_bti_q7_2",137,10,1,1,1,"2006-2024","14.5%",NA,5.36,5,2.31,1,10,2,5,137,137,"vars_mkt","Business Environment"
"bs_bti_q8_2",137,10,1,1,1,"2006-2024","14.5%",NA,6.42,7,2.05,1,10,2,5,137,137,"vars_pfm","Public Finance Institutions"
"bs_bti_si",137,10,1,1,1,"2006-2024","14.5%",NA,5.62,5.65,2.09,1.266667,9.95,2,5,137,137,"vars_pol","Political Institutions"
"fh_fiw_cl_rating",197,12,1,1,1,"2013-2024","26.4%",NA,3.35,3,1.91,1,7,4,5,196,197,"vars_social","Social Institutions"
"fh_fiw_pr_rating",197,12,1,1,1,"2013-2024","26.4%",NA,3.47,3,2.19,1,7,4,5,196,197,"vars_pol","Political Institutions"
"ibp_obs_obi",125,9,1,1,1,"2006-2023","10.3%",NA,43.69,45.947399,23.52,0,93.163002,2,0,125,0,"vars_transp","Transparency and Accountability Institutions"
"idea_gsod_v_21_05",173,33,1,1,1,"1990-2022","62.7%",NA,0.44,0.33,0.32,0,1,2,4,173,173,"vars_leg","Justice Institutions"
"idea_gsod_v_22_16",173,33,1,1,1,"1990-2022","62.9%",NA,0.67,0.74,0.24,0,1,2,4,173,173,"vars_lab","Labor and Social Protection Institutions"
"rwb_pfi_index",178,21,1,1,1,"2002-2023","40.2%",NA,48.65,53.63,27.42,-10,142,3,4,178,178,"vars_social","Social Institutions"
"wb_gtmi_cgsi",198,2,1,1,1,"2020-2022","4.4%",NA,0.53,0.52,0.24,0,0.99,1,2,198,198,"vars_digital","Digital and Data Institutions"
"wb_gtmi_dcei",198,1,1,1,0,"2022-2022","2.2%",NA,0.45,0.395,0.32,0,1,1,1,198,198,"vars_transp","Transparency and Accountability Institutions"
"wb_gtmi_gtei",198,2,1,1,1,"2020-2022","4.4%",NA,0.53,0.55,0.28,0.04,1,1,2,198,198,"vars_digital","Digital and Data Institutions"
