country_code,country_name,country_group,wjp_rol_2,vdem_core_v2x_pubcorr,vdem_core_v2x_execorr,vdem_core_v2lgcrrpt,wjp_rol_6_2,bs_bti_q12_1,rise_ee_1,rise_ee_2,rise_ee_3,rise_ee_4,rise_ee_5,rise_ee_6,rise_ee_7,rise_ee_8,rise_ee_9,rise_re_1,rise_re_2,rise_re_3,rise_re_4,rise_re_7,rise_ee_4_3,wb_gtmi_cgsi,wb_gtmi_gtei,wb_gtmi_psdi,wb_spi_census_and_survey_index,wb_spi_std_and_methods,vdem_core_v2clrspct,bs_bti_q15_1,vdem_core_v2stcritrecadm,vdem_core_v2peasjpol,vdem_core_v2peasjsoecon,wjp_rol_4_8,idea_gsod_v_22_16,oecd_epl_regular,oecd_epl_temporary,wb_wbl_labor,wb_aspire_coverage,wb_aspire_adequacy_benefits,vdem_core_v2juaccnt,bs_bti_q3_2,vdem_core_v2juhcind,wjp_rol_2_2,vdem_core_v2juncind,idea_gsod_v_21_05,wjp_rol_6_6,wjp_rol_4_3,wjp_rol_7_7,wjp_rol_7_1,wjp_rol_7_6,wjp_rol_7_5,wjp_rol_8_2,wjp_rol_8_1,wjp_rol_8_4,vdem_core_v2clacjstm,vdem_core_v2clacjstw,vdem_core_v2xcl_prpty,bs_bti_q7_2,wjp_rol_6,wb_lpi_lp_lpi_cust_xq,wb_gfdb_oi_01,wb_wbl_entrepreneurship,bs_bti_q8_2,wb_debt_transp_index,wb_gtmi_pfm_mis,wb_pefa_pi_2016_05,wb_pefa_pi_2016_07,wb_pefa_pi_2016_08,wb_pefa_pi_2016_10,wb_pefa_pi_2016_11,wb_pefa_pi_2016_12,wb_pefa_pi_2016_13,wb_pefa_pi_2016_14,wb_pefa_pi_2016_15,wb_pefa_pi_2016_16,wb_pefa_pi_2016_17,wb_pefa_pi_2016_18,wb_pefa_pi_2016_19,wb_pefa_pi_2016_20,wb_pefa_pi_2016_21,wb_pefa_pi_2016_22,wb_pefa_pi_2016_23,wb_pefa_pi_2016_24,wb_pefa_pi_2016_25,wb_pefa_pi_2016_26,wb_pefa_pi_2016_27,wb_pefa_pi_2016_28,wb_pefa_pi_2016_29,wb_pefa_pi_2016_30,bs_bti_si,wjp_rol_1,bs_bti_q3_1,vdem_core_v2xlg_legcon,bs_bti_q2_1,fh_fiw_pr_rating,vdem_core_v2pepwrses,vdem_core_v2pepwrsoc,vdem_core_v2pepwrgen,vdem_core_v2lgqugen,vdem_core_v2x_gender,vdem_core_v2peapspol,vdem_core_v2peapsecon,vdem_core_v2peapsgen,wdi_shstaanvczs,wdi_shstabrtczs,wdi_spregbrthzs,wdi_seprmenrltczs,wdi_sesecenrltczs,wdi_sepretcaqzs,wdi_seprmtcaqzs,wdi_sesectcaqzs,fh_fiw_cl_rating,bs_bti_q2_3,vdem_core_v2cacamps,rwb_pfi_index,vdem_core_v2x_cspart,vdem_core_v2cseeorgs,vdem_core_v2csreprss,vdem_core_v2dlengage,wjp_rol_4_7,vdem_core_v2clacfree,wjp_rol_4_5,wjp_rol_4_4,wjp_rol_4_6,vdem_core_v2cldiscm,vdem_core_v2cldiscw,wb_wbl_social,oecd_pmr_2018_1_1,oecd_pmr_2018_1_2,oecd_pmr_2018_1_3,oecd_pmr_2018_1_4,oecd_pmr_2018_2_1,oecd_pmr_2018_2_2,wjp_rol_3_2,wjp_rol_3_1,ibp_obs_obi,wjp_rol_3_4,wb_gtmi_dcei,wdi_nygdppcapppkd,log_gdp,vars_anticorruption_avg,vars_climate_avg,vars_digital_avg,vars_hrm_avg,vars_leg_avg,vars_mkt_avg,vars_pfm_avg,vars_pol_avg,vars_social_avg,vars_transp_avg
AFG,Afghanistan,0,0.1725,0.3265925176946411,0.2912998976458546,0.1006317689530686,0.23403203045432763,0.25,0.888888854980469,0.666666641235352,0.708333358764648,0.01,0.15652173497681374,0.22222221374511733,0.0277777767181396,0.01,0.20089286056404218,0.6,0.333333320617676,0.13157894736842105,0.01,0.01,0.01,NA,NA,NA,0.3967335,0.5,0.18958390741251036,0.3125,0.2410927152317881,0.22052589641434264,0.17701634159198737,0.2599368025851486,0.6185567010309279,NA,NA,0.2476190476190478,NA,NA,0.45292411055122916,0.2222222222222222,0.3484370519070834,0.06232254942559754,0.20383965596682535,0.01,0.305,0.20060424355426523,0.18071999539549644,0.2791710834685416,0.4707327260235378,0.36280166775688566,0.40989425408524705,0.2641022232929325,0.13706437070119964,0.2955072463768115,0.20388031151796693,0.3725966850828729,0.2777777777777778,0.23661971830985915,0.22222222222222224,0.46077602449925836,0.75,0.3333333333333333,0.03536977491961411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20078732252467618,0.30769230769230765,0.3333333333333333,0.2951194184839045,0.2777777777777778,0.20000000000000004,0.1831571272329566,0.2048880533242181,0.21600250039068605,0.4,0.2070362473347548,0.19559963931469793,0.19124487004103966,0.13773785964378138,NA,0.4390602055800294,NA,NA,NA,NA,NA,NA,0.13333333333333333,0.3888888888888889,0.3586847748391709,0.4732820640039692,0.2751311647429171,0.334338925657996,0.3382844867270216,0.43267018961765624,0.49996450155498995,0.31811563169164886,0.3415895147770966,0.5279433445979127,0.24368172300970667,0.3617431906614786,0.27655151329868544,0.23014705882352954,NA,NA,NA,NA,NA,NA,0.33910219357410787,0.17041076397530405,NA,0.21108398044291057,NA,1983.81261992909,7.592775837784295,0.2250112429495784,0.26476348181066744,NA,0.22814377213012568,0.25936610072034366,0.38666540464866506,NA,0.25689037164496503,0.3458968941391251,NA
AFE,Africa Eastern and Southern,1,0.32,0.3340748230535895,0.3930399181166837,0.36898315282791816,0.33775949145042916,0.25,0.579629627863566,0.166666660308838,0.14583333015441902,0.01,0.17608695184891546,0.01,0.03972222328186035,0.01,0.01,0.6,0.6736110941569013,0.24342105263157893,0.4,0.08833333333333335,0.01,NA,NA,0.01,0.6265333,0.445,0.42655001377790025,0.3125,0.4177649006622517,0.3412430278884462,0.4895624670532419,0.42385289535543047,0.7822164948453609,NA,NA,0.8058608058608088,0.2872835820895522,0.26831697254232467,0.46457474423576117,0.3333333333333333,0.4609549756237453,0.37930987953601125,0.5117339886346184,0.33,0.41,0.2848687770736249,0.4017663011277649,0.27697638363079147,0.42994098253696006,0.39497295893305584,0.40677616040493686,0.3708183456972676,0.49357947653670053,0.5268840579710145,0.5330099740401695,0.6591160220994475,0.3333333333333333,0.3380281690140845,0.2962962962962962,0.3429019648061668,0.75,0.4444444444444444,0.545016077170418,1,0.3333333333333333,0.5,0.3333333333333333,0.1925,0.01,0.25,0.6666666666666666,0.41666666666666663,0.25,0.01,0.5833333333333333,0.3333333333333333,0.5,0.3333333333333333,0.2,0.01,0.16666666666666666,0.16666666666666666,0.41666666666666663,0.16666666666666666,0.45833333333333337,0.41666666666666663,0.4166666666666667,0.16666666666666666,0.37106323973888206,0.3692307692307693,0.2222222222222222,0.6517133956386292,0.3888888888888889,0.3666666666666667,0.5961356179365658,0.5505383695094856,0.5805125800906392,0.2,0.7668443496801707,0.4732551848512173,0.35664994680042555,0.450053280560207,0.915820029027576,0.8054331864904554,0.7215727948990435,NA,NA,0.6026547288894655,0.9367280769348147,0.9052426910400391,0.41666666666666663,0.3888888888888889,0.46657612580414587,0.5699082113619449,0.7083945435466947,0.6296290595659535,0.5381463863740985,0.5495492695057507,0.49044888658478203,0.5605710206995003,0.6709750882174683,0.43443976412969465,0.23104166288553143,0.5741634241245136,0.5827881381840416,0.8180147058823561,NA,NA,NA,NA,NA,NA,0.39845063304751827,0.18480802390341017,NA,0.4422864538395168,NA,NA,NA,0.3507714770897241,0.21333151709871329,NA,0.397524081876368,0.41232354937151505,0.4532792975915547,0.34396150080055043,0.46034691814572,0.539387615151377,NA
AFW,Africa Western and Central,1,0.245,0.2575328614762386,0.24329580348004093,0.32691034897713594,0.36418369991805183,0.375,0.666666641235352,0.666666641235352,0.291666660308838,0.01,0.3652173816125654,0.01,0.3148148091634113,0.3055555470784507,0.01,0.6,0.583333320617676,0.23684210526315788,0.183333339691162,0.01,0.01,NA,NA,NA,0.5382,0.41000000000000003,0.4166437034995867,0.375,0.3548013245033113,0.34443027888446215,0.46424178527499554,0.43323314230978854,0.7435567010309279,NA,NA,0.6402930402930407,NA,NA,0.48039395327530926,0.3333333333333333,0.4742902208201893,0.33517162279742607,0.5517585624328061,0.33,0.41000000000000003,0.3237862338819229,0.37133256365895545,0.29129259058950785,0.34088565737248727,0.43948305145292177,0.4039708786951272,0.2614428005349858,0.5348970391300385,0.5454492753623188,0.5640251400464544,0.7453038674033149,0.3333333333333333,0.38591549295774646,0.2962962962962962,0.3722580245087984,0.75,0.5,0.6165594855305465,1,0.6666666666666666,0.41666666666666663,0.01,0.25,0.16666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.25,0.25,0.3333333333333333,0.5,0.5,0.5,0.5,0.01,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.41666666666666663,0.16666666666666666,0.452755924111841,0.35897435897435903,0.3333333333333333,0.4514278296988577,0.5,0.36666666666666664,0.6291833758658403,0.5824645359767562,0.5931864353805283,0.25,0.755863539445629,0.5074120829576195,0.34924760601915183,0.4966052671639519,0.9622641509433963,0.5653450807635831,0.4952178533475027,0.01,0.6358631602530428,0.5406024042765302,0.7444295196533204,0.6347588806152343,0.4833333333333333,0.5555555555555556,0.5285203716940672,0.6204167700322499,0.7686253934942288,0.7039710635678005,0.6013349700782569,0.6257382654647188,0.553333845775115,0.6975731620271235,0.7806309292799878,0.4887711402903771,0.2939381664766475,0.6779143968871595,0.6983949862427393,0.6911764705882373,NA,NA,NA,NA,NA,NA,0.3435464297214741,0.14279225351128041,NA,0.28397929249352893,0.01,NA,NA,0.28738454277029346,0.2899435278878728,NA,0.3910234184324711,0.4112654660813991,0.4805178357499149,0.3816009685998968,0.47944145449580106,0.6105768012992249,NA
ALB,Albania,0,0.2525,0.3722952477249747,0.2847492323439099,0.279632972322503,0.30161173350368764,0.5,0.888888854980469,0.5,0.708333358764648,0.5,0.2173913052131638,0.11111110687255853,0.555555572509766,0.416666679382324,0.5803571527405663,0.8,0.458333320617676,0.5526315789473685,0.366666679382324,0.5,0.01,NA,NA,NA,0.7768667,0.9299999999999999,0.5464315238357674,0.625,0.3517549668874172,0.2941832669322709,0.6385169565981373,0.3613089241575972,0.6443298969072165,NA,NA,1,NA,NA,0.6084287677508017,0.4444444444444444,0.6148551763693719,0.221689799412802,0.6010136691752419,0.33,0.325,0.4978656558325148,0.44834965787861053,0.44132936722552735,0.42369422627315106,0.4363815471287326,0.38416117264384836,0.4364095023689464,0.6038034874182306,0.6926376811594201,0.704057931411395,0.8585635359116021,0.7777777777777778,0.3408450704225352,0.33333333333333326,0.33799817781996677,1,0.6111111111111112,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6663387140398764,0.3538461538461539,0.4444444444444444,0.8064382139148494,0.6666666666666666,0.6666666666666666,0.4568355814801312,0.7307468808750641,0.6720425066416628,0.5,0.9328358208955224,0.6585392245266006,0.5819121447028424,0.7272035317399909,NA,NA,NA,NA,NA,0.5339730834960941,0.617683296203613,0.5969908142089845,0.6666666666666666,1,0.653323802716226,0.6221533118332919,0.6694648478488983,0.7733723256887796,0.735246278962713,0.5702207025178738,0.47403178696688986,0.6401998572448252,0.8690870501002435,0.5068161953156249,0.5868467642007066,0.7652607003891051,0.7742280648119841,1,NA,NA,NA,NA,NA,NA,0.4255534737958037,0.4478707636275834,NA,0.39685763589301115,NA,17991.0161430889,9.797627809123133,0.29815783717901506,0.479120975588179,NA,0.49117734285071857,0.4831836521466493,0.6080863158775358,NA,0.6269874226791853,0.7066823972039893,NA
DZA,Algeria,0,0.3625000000000001,0.3902932254802831,0.3766632548618219,0.3489771359807461,0.4000918970857366,0.625,0.8222222137451171,0.833333358764648,0.875,0.5,0.45652172701570676,0.3333333333333333,0.72685188293457,0.666666641235352,0.4141865102595349,0.8,0.65277779897054,0.47807018882349894,0.3,0.5,0.5,NA,NA,NA,0.5000001000000001,0.46,0.30338936346100853,0.375,0.4696026490066226,0.4722231075697211,0.5581444385872429,0.4390819309342537,0.6752577319587629,NA,NA,0.47985347985347987,NA,NA,0.37052985188578413,0.3333333333333333,0.25064525379982794,0.495850995026033,0.30124404853325143,0.33,0.5025000000000001,0.4660836246406213,0.33859115732166867,0.517817198485668,0.38797482119290416,0.7366961934626477,0.46733592768658067,0.23642943973239622,0.6902516353846045,0.49573913043478257,0.5461401830851209,0.7569060773480664,0.2777777777777778,0.4197183098591549,0.2962962962962962,0.25894275397230476,0.75,0.7222222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37696874922490203,0.39230769230769225,0.3333333333333333,0.25067497403946004,0.3888888888888889,0.16666666666666666,0.7248997448049581,0.5641770637497864,0.5153305203938116,0.75,0.703411513859275,0.6629035166816952,0.6611035111719106,0.71931800882935,0.9317851959361391,0.9823788546255509,0.9957492029755578,NA,NA,0.9774239095052083,0.9507808939615887,NA,0.3333333333333333,0.4444444444444444,0.6946962115796999,0.44639047382783426,0.3154249737670514,0.3600430968139141,0.3176001227558693,0.5139260180292198,0.35004773948272505,0.4593004996431121,0.2048014657886989,0.37458089784129395,0.44711477381661474,0.5593463035019455,0.5399571996331397,0.5183823529411745,NA,NA,NA,NA,NA,NA,0.30824855218392827,0.17639472189088112,NA,0.3603948806442336,NA,15159.3242373415,9.6263710828296,0.3757051026817176,0.5927477284426438,NA,0.43567191172491904,0.43924487023560144,0.4599402025422667,NA,0.4696962861153431,0.42996186920000445,NA
ASM,American Samoa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4996667,0.1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09875476414216822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,0.7438848920863308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64631.2963909271,11.076454036711612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,0,0.3400000000000001,0.4487360970677452,0.5007164790174001,0.3663056558363418,0.33775949145042916,0.25,0.166666660308838,0.166666660308838,0.01,0.01,0.15652173497681374,0.01,0.01,0.01,0.01,0.8,0.666666641235352,0.19736842105263158,0.433333320617676,0.01,0.01,NA,NA,NA,0.8406,0.41000000000000003,0.456213833011849,0.25,0.37788079470198677,0.3858804780876494,0.30426989984185554,0.31881334192113536,0.45360824742268036,NA,NA,0.7296703296703323,NA,NA,0.4060161856772026,0.3333333333333333,0.3543160309721824,0.4433221353160959,0.4443249884810321,0.33,0.305,0.22822504738285085,0.4017663011277649,0.3755363259419507,0.21789084240755666,0.197006619881099,0.3557545801029243,0.3319075349388449,0.36837513233819685,0.4607246376811594,0.5130482306326001,0.3580110497237569,0.2777777777777778,0.323943661971831,0.07407407407407406,0.4122898570081585,1,0.4444444444444444,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37106323973888206,0.31025641025641026,0.2222222222222222,0.15680166147455868,0.3333333333333333,0.16666666666666666,0.49325555960627054,0.42006494616304907,0.6285669635880606,0.25,0.7492537313432837,0.41828674481514877,0.32466940264477884,0.45321966813822495,NA,NA,NA,NA,NA,0.7449303054809571,0.9328443908691411,0.921391296386719,0.3333333333333333,0.3888888888888889,0.6354253037884203,0.5699082113619449,0.3626442812172089,0.5980914268123749,0.5299677765843179,0.35430525334162266,0.3585820397282343,0.4788579586009993,0.5587031670572669,0.38441318016139137,0.17722153382644837,0.5559221789883269,0.5404463466829716,1,NA,NA,NA,NA,NA,NA,0.37464881657589394,0.058815967093459424,NA,0.4549525452976703,NA,7250.40269935241,8.888812291044433,0.3987035446743833,0.18232646490625934,NA,0.35484900112866813,0.3568557603655761,0.40768273675926636,NA,0.3728622485811579,0.4891694300233594,NA
ATG,Antigua and Barbuda,0,0.5599999999999999,NA,NA,NA,0.7612380186883588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3232667,0.35000000000000003,NA,NA,NA,NA,NA,0.8620821015892939,NA,NA,NA,0.6315018315018308,NA,NA,NA,NA,NA,0.7851034575816935,NA,NA,0.6875000000000001,0.5825582379478289,0.7194042584887073,0.8054407787993509,0.42919733284564016,0.43440535359486276,0.6067953530807825,0.5032077002528168,0.522137042775912,NA,NA,NA,NA,0.5887323943661972,0.2592592592592593,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5666666666666667,NA,NA,NA,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9853157121879589,NA,NA,NA,NA,0.47535209655761695,0.496368026733398,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,0.70065069947738845,NA,0.7128997897151241,0.6044619366407192,0.7047208367226055,NA,NA,0.8272058823529437,NA,NA,NA,NA,NA,NA,0.5870135006782371,0.24810641130184824,NA,0.4820394017831464,NA,28474.0444178181,10.256748229115514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARB,Arab World,1,0.3487500000000001,0.3448938321536906,0.30859774820880237,0.3317388688327317,0.4226773731571493,0.375,0.8222222137451171,0.833333358764648,0.458333320617676,0.37666666666666665,0.4434782491009723,0.18518518235948356,0.296296297709147,0.18111110687255866,0.3422619034947993,0.7333333333333333,0.65277779897054,0.47807018882349894,0.31666666666666665,0.5,0.5,NA,NA,NA,0.48520005,0.455,0.3480297602645357,0.375,0.34650662251655634,0.37047011952191233,0.4350904937620804,0.3674237419695793,0.5876288659793815,NA,NA,0.3846153846153846,NA,NA,0.46605588639486945,0.2222222222222222,0.4701032406079725,0.3849004741321148,0.4813853478728306,0.33,0.5212500000000001,0.38308784870315893,0.37817702284984933,0.4610587705065802,0.39726648806552234,0.38323286922424116,0.4516384672786361,0.4590912992792089,0.34943776423818773,0.5042028985507245,0.5099603771006969,0.660220994475138,0.2777777777777778,0.44084507042253523,0.35185185185185186,0.3518681717937343,0.75,0.4444444444444444,0.01,1,0.6666666666666666,0.5,0.3333333333333333,0.01,0.3333333333333333,0.25,0.5,0.16666666666666666,0.3333333333333333,0.25,0.25,0.16666666666666666,0.5,0.5,0.6,0.01,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.25,0.5,0.2593504884446896,0.40512820512820513,0.1388888888888889,0.25514018691588786,0.16666666666666666,0.16666666666666666,0.459843237331389,0.4851136557853359,0.34480387560556336,0.75,0.5368869936034115,0.5160504959422904,0.4561331509347925,0.5066676815344802,0.8570391872278663,0.9856828193832601,0.9936238044633368,NA,0.06919647738687862,1,1,1,0.3333333333333333,0.2222222222222222,0.5122659042172981,0.4129744480277846,0.5249737670514165,0.50183161459135,0.4267300905324536,0.4619676717438608,0.44102365099418783,0.4456816559600286,0.43303217540567435,0.40971387529512593,0.3379292344727338,0.4933852140077821,0.42366248853561606,0.345588235294118,NA,NA,NA,NA,NA,NA,0.32730858255412665,0.2710316643507573,NA,0.321491515674432,0.01,NA,NA,0.3513315644704748,0.4684210179453192,NA,0.37501939921301697,0.4207688810015774,0.47209397772017286,0.36695473251028804,0.36077171500333677,0.4203947238553116,NA
