country_code,country_name,income_group,region,country_group,bs_bti_q12_1,bs_bti_q15_1,bs_bti_q2_1,bs_bti_q2_3,bs_bti_q3_1,bs_bti_q3_2,bs_bti_q7_2,bs_bti_q8_2,fh_fiw_cl_rating,fh_fiw_pr_rating,ibp_obs_obi,idea_gsod_v_21_05,idea_gsod_v_22_16,oecd_epl_regular,oecd_epl_temporary,oecd_pmr_2018_1_3,oecd_pmr_2018_1_4,oecd_pmr_2018_2_1,oecd_pmr_2018_2_2_1,oecd_pmr_2018_2_2_2,rise_ee_1,rise_ee_2,rise_ee_3,rise_ee_4,rise_ee_4_3,rise_ee_5,rise_ee_6,rise_ee_7,rise_ee_8,rise_ee_9,rise_re_1,rise_re_2,rise_re_3,rise_re_4,rise_re_7,rwb_pfi_index,vdem_core_v2cacamps,vdem_core_v2clacfree,vdem_core_v2clacjstm,vdem_core_v2clacjstw,vdem_core_v2cldiscm,vdem_core_v2cldiscw,vdem_core_v2clrspct,vdem_core_v2cseeorgs,vdem_core_v2csreprss,vdem_core_v2dlengage,vdem_core_v2juaccnt,vdem_core_v2juhcind,vdem_core_v2juncind,vdem_core_v2lgcrrpt,vdem_core_v2lgqugen,vdem_core_v2peapsecon,vdem_core_v2peapsgen,vdem_core_v2peapspol,vdem_core_v2peasjpol,vdem_core_v2peasjsoecon,vdem_core_v2pepwrgen,vdem_core_v2pepwrses,vdem_core_v2pepwrsoc,vdem_core_v2stcritrecadm,vdem_core_v2x_cspart,vdem_core_v2x_execorr,vdem_core_v2x_gender,vdem_core_v2x_pubcorr,vdem_core_v2xcl_prpty,vdem_core_v2xlg_legcon,wb_aspire_adequacy_benefits,wb_aspire_coverage,wb_debt_transp_index,wb_gfdb_oi_01,wb_gtmi_cgsi,wb_gtmi_dcei,wb_gtmi_gtei,wb_gtmi_pfm_mis,wb_gtmi_psdi,wb_lpi_lp_lpi_cust_xq,wb_pefa_pi_2016_05,wb_pefa_pi_2016_07,wb_pefa_pi_2016_08,wb_pefa_pi_2016_10,wb_pefa_pi_2016_11,wb_pefa_pi_2016_12,wb_pefa_pi_2016_13,wb_pefa_pi_2016_14,wb_pefa_pi_2016_15,wb_pefa_pi_2016_16,wb_pefa_pi_2016_17,wb_pefa_pi_2016_18,wb_pefa_pi_2016_19,wb_pefa_pi_2016_20,wb_pefa_pi_2016_21,wb_pefa_pi_2016_22,wb_pefa_pi_2016_23,wb_pefa_pi_2016_24,wb_pefa_pi_2016_25,wb_pefa_pi_2016_26,wb_pefa_pi_2016_27,wb_pefa_pi_2016_28,wb_pefa_pi_2016_29,wb_pefa_pi_2016_30,wb_spi_census_and_survey_index,wb_spi_std_and_methods,wb_wbl_entrepreneurship,wb_wbl_labor,wb_wbl_social,wdi_sepretcaqzs,wdi_seprmenrltczs,wdi_seprmtcaqzs,wdi_sesecenrltczs,wdi_sesectcaqzs,wdi_shstaanvczs,wdi_shstabrtczs,wdi_spregbrthzs,wjp_rol_1,wjp_rol_2,wjp_rol_2_2,wjp_rol_3_1,wjp_rol_3_2,wjp_rol_3_4,wjp_rol_4_3,wjp_rol_4_4,wjp_rol_4_5,wjp_rol_4_6,wjp_rol_4_7,wjp_rol_4_8,wjp_rol_6,wjp_rol_6_2,wjp_rol_6_6,wjp_rol_7_1,wjp_rol_7_5,wjp_rol_7_6,wjp_rol_7_7,wjp_rol_8_1,wjp_rol_8_2,wjp_rol_8_4,wdi_nygdppcapppkd,log_gdp,vars_anticorruption_avg,vars_climate_avg,vars_digital_avg,vars_hrm_avg,vars_leg_avg,vars_mkt_avg,vars_pfm_avg,vars_pol_avg,vars_social_avg,vars_transp_avg
AFG,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan",0,0.20833333333333331,0.2962962962962963,0.18518518518518517,0.2962962962962963,0.2222222222222222,0.14814814814814817,0.2592592592592593,0.2962962962962963,0.10000000000000002,0.13333333333333333,0.2454471785726958,0.01,0.5601374570446735,NA,NA,NA,NA,NA,NA,NA,0.8888888549804688,0.6666666412353516,0.7083333587646484,0.01,0.01,0.15652173497681368,0.2222222137451172,0.02777777671813965,0.01,0.20089286056404218,0.6,0.3333333206176758,0.13157894736842105,0.01,0.01,0.4399962788389977,0.29359873979664897,0.23257673090649536,0.2871884057971014,0.1337614428200574,0.32556785090273727,0.21800681178735376,0.13105538715899698,0.22638140680313992,0.21617308577566363,0.324332106862902,0.4857316148597422,0.3231152830742154,0.1409000153586239,0.08957581227436823,0.2,0.15522875816993462,0.09499162734053891,0.17504612546125464,0.17116000000000003,0.1403531892461782,0.1483356774496015,0.16813707619394822,0.12278243035378571,0.19171639171639174,0.15299055613850995,0.3340839303991811,0.11044776119402985,0.35935288169868557,0.3385744234800838,0.23447559709241952,NA,NA,0.02829581993569134,0.460689100817208,0.37755102040816324,0.13,0.28125000000000006,0.7692307692307693,0.55,0.22222222222222224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4083335,0.5000000000000001,0.75,0.23809523809523814,0.22058823529411764,NA,NA,NA,NA,NA,NA,0.3665008291873963,NA,0.3012820512820513,0.178125,0.07206906778572547,0.16139150347329947,0.33493528318774946,0.2208058468289319,0.2081558671307995,0.4800981274900179,0.2995486363676659,0.21964710871025062,0.45252548579537344,0.245375377900685,0.23943661971830985,0.2470432237045742,0.31329113924050633,0.2783260534355406,0.3670450197678867,0.43954738449827735,0.09385022246702053,0.27654274054933353,0.4222829850372753,0.13904397517271508,NA,NA,0.24163616961536183,0.2621593151440007,0.4234269040816327,0.18611625288357264,0.2434705508907629,0.3783636042495139,NA,0.1826201334306577,0.28114546611038566,0.21851596241253532
AFE,Africa Eastern and Southern,NA,NA,1,0.2916666666666667,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.41666666666666663,0.3333333333333333,0.3552373899637057,0.33,0.7835051546391752,NA,NA,0.5622222178005475,0.371294245820866,0.5882352888584124,0.5294117636010987,0.4660302672731061,0.6555555725097656,0.1666666626930237,0.14583333015441896,0.01,0.01,0.17608695184891537,0.01,0.03972222328186035,0.01,0.01,0.6,0.6874999809265137,0.25877193149767425,0.4,0.13,0.5538327958322996,0.49293999713590153,0.5452533904354033,0.5259565217391304,0.5332968984833995,0.6113278974956319,0.6066637050199911,0.4262468999724442,0.626042788979529,0.5416295841644929,0.5209566469364901,0.4805307050796057,0.4551188031680845,0.49144524650591304,0.36648616125150424,0.225,0.35358717130262957,0.44590120261835897,0.5068726937269373,0.33758000000000005,0.4843832366895098,0.5776215033598999,0.5884797666788188,0.5384207827721758,0.4376272376272376,0.7074501573976915,0.40562947799385873,0.7577825159914712,0.315267947421638,0.6733752620545075,0.639460020768432,1,0.7079177999395587,0.6006430868167202,0.34608968296610165,0.3877551020408163,0.255,0.3359375,0.7692307692307693,0.505,0.2962962962962962,0.6666666666666666,0.5,0.3333333333333333,0.5,0.08833333333333333,0.25,0.6666666666666666,0.5,0.3333333333333333,0.13,0.6666666666666666,0.5,0.75,0.3333333333333333,0.3333333333333333,0.01,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.5,0.4,0.5,0.16666666666666666,0.6289999375,0.4276315789473685,0.75,0.8058608058608058,0.818014705882353,0.806556168601598,NA,0.9537103907366733,NA,0.8871229192235324,0.8522727272727271,0.9038142620232172,0.7215727948990435,0.36217948717948717,0.31875000000000003,0.37938498471569326,0.17713644535832027,0.39075599365759617,0.44703732783480954,0.29770915171527884,0.4195619598502519,0.6794086455218467,0.22746519018147798,0.47180063350897444,0.42446053083242236,0.3380281690140845,0.34762844087234346,0.420886075949367,0.2921013269370335,0.4079939976089527,0.4307068749907321,0.3820436496310445,0.37693374748465663,0.41798228588572706,0.4651335009901782,NA,NA,0.3507524055078689,0.2251127074736774,0.45706482369763696,0.39642673411709756,0.41297394730694886,0.4623599634502267,0.4114562333515531,0.45778329656391736,0.5357717561463959,0.3250334313628863
AFW,Africa Western and Central,NA,NA,1,0.375,0.3333333333333333,0.48148148148148145,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4833333333333333,0.3333333333333333,0.37983510150637123,0.33,0.7439862542955327,NA,NA,NA,NA,NA,NA,NA,0.6666666412353516,0.6666666412353516,0.29166666030883787,0.01,0.01,0.3913043374420342,0.01,0.375,0.3333333206176758,0.01,0.6,0.5833333206176757,0.23684210526315788,0.1833333396911621,0.01,0.6076345819895808,0.5263640269225262,0.6906780870806567,0.5246521739130434,0.5485448831807624,0.665812463599301,0.7110617503331851,0.4293193717277487,0.7003078343851008,0.6129967776584317,0.5997120460726284,0.49347990902198635,0.5032560868289822,0.5616341575794809,0.3364771359807461,0.25,0.35069919440644476,0.49670802253006546,0.5107011070110701,0.34072,0.4640441047267615,0.5966088451320519,0.6427816259569814,0.6032131259613742,0.37606177606177604,0.7606505771248688,0.25127942681678606,0.7535181236673774,0.25803842264914056,0.7445492662473794,0.383073727933541,NA,NA,0.5752411575562701,0.314830756644752,0.3163265306122449,0.195,0.26562500000000006,0.6923076923076923,0.36,0.2962962962962962,0.6666666666666666,0.3333333333333333,0.01,0.25,0.16666666666666666,0.16666666666666666,0.41666666666666663,0.6666666666666666,0.16666666666666666,0.25,0.25,0.5,0.5,0.16666666666666666,0.5,0.01,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.20833333333333331,0.01,0.3333333333333333,0.16666666666666666,0.5665416875,0.40131578947368424,0.75,0.641025641025641,0.7205882352941178,0.5527856181946178,NA,0.767044677734375,NA,0.6888271823651253,0.7234848484848484,0.6202321724709785,0.5642933049946866,0.34935897435897434,0.24062499999999998,0.3353568401067683,0.1439559129928916,0.3397658377532883,0.28661290440933673,0.3358373646796912,0.4751634406513593,0.7710766613648314,0.2873245484499546,0.5311656594476712,0.4253406103483785,0.3873239436619718,0.3630515757057493,0.4208860759493671,0.331253380869237,0.4511984596737863,0.3249047268341629,0.38908720160316873,0.2734597725925016,0.40125497489623635,0.5088895710252415,NA,NA,0.2898943122304844,0.2970716479007029,0.38196180151718584,0.3886957171699239,0.41570758306398525,0.47105559936395547,0.3253207392953731,0.4726702571158448,0.6062140987039439,0.26903395133237756
ALB,Albania,Upper middle income,Europe & Central Asia,0,0.5416666666666666,0.5925925925925926,0.7037037037037037,1,0.48148148148148145,0.48148148148148145,0.7407407407407408,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.6245271486764742,0.33,0.6563573883161513,NA,NA,NA,NA,NA,NA,NA,0.8888888549804688,0.5,0.7083333587646484,0.5,0.01,0.21739130521316383,0.1111111068725586,0.5555555725097656,0.4166666793823242,0.5803571527405663,0.8,0.4583333206176758,0.5526315789473685,0.3666666793823242,0.5,0.6052778466881666,0.6301589574681369,0.6288365453247681,0.688782608695652,0.6984833993714988,0.7688701223063482,0.7897823189693468,0.5496004408928079,0.7699861474526705,0.7280957495780266,0.5608702607582787,0.61710386656558,0.6289234379583456,0.5988020273383505,0.29557761732851984,0.5,0.5747074023407812,0.7190592175369157,0.6510608856088561,0.2928,0.6361799332279037,0.673292701984685,0.46751731680641634,0.7415484532558537,0.3495261495261495,0.672193074501574,0.30972364380757417,0.9349680170575694,0.37209302325581395,0.8549266247379456,0.7748701973001039,NA,NA,NA,0.3238608214326805,0.6632653061224489,0.74,0.6770833333333333,1,0.86,0.33333333333333326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8045,0.9736842105263158,1,1,1,0.5043449301521522,NA,0.617683302526186,NA,0.5699949871955453,NA,NA,NA,0.3397435897435898,0.25625000000000003,0.23637174610069192,0.4528708246499832,0.4251560139060098,0.4146414341167751,0.48972149546178484,0.49454312611006584,0.8525838631669267,0.5735811668115873,0.46369355620261676,0.3605127731465462,0.3380281690140845,0.31211433637789654,0.3259493670886076,0.48830705319105927,0.4164445512841098,0.4348447702322638,0.42771521096279974,0.44288725991536065,0.3637263057014195,0.5367826614297817,18920.8942644729,9.848022107052994,0.3091517241539609,0.4817251422548457,0.7957065699964196,0.48413982324789073,0.48272513192816396,0.5984816148764641,NA,0.628379212800007,0.7003212126253238,0.5314390842698484
DZA,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",0,0.5833333333333334,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.7037037037037037,0.3333333333333333,0.16666666666666666,0.10327399108836212,0.33,0.6769759450171821,NA,NA,NA,NA,NA,NA,NA,0.8222222137451172,0.8333333587646484,0.875,0.5,0.5,0.45652172701570654,0.3333333333333333,0.7361111450195312,0.6666666412353516,0.43898808852243576,0.8,0.7083333587646484,0.47807018882349916,0.3,0.5,0.4349106921359464,0.7159387082915653,0.44491077801570306,0.5046376811594202,0.5434348954775243,0.5698311007571345,0.5505108840515326,0.3153761366767705,0.34640603355394806,0.2994015651373331,0.48398656215005603,0.3599696739954511,0.250630683484893,0.30689602211641837,0.3518953068592058,0.75,0.661156710746314,0.7159765565535089,0.693450184501845,0.46824000000000005,0.5430943595150237,0.5085482106579153,0.7846518410499453,0.5693043924115536,0.4954720954720954,0.3089192025183631,0.38075742067553736,0.6754797441364605,0.39494438827098083,0.7693920335429769,0.22180685358255453,NA,NA,NA,0.1529783198595912,0.4030612244897959,0.31,0.39062500000000006,0.6923076923076923,0.69,0.2962962962962962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49166675000000004,0.4473684210526316,0.75,0.4798534798534798,0.5183823529411765,0.9855931650325952,NA,0.974169677734375,NA,NA,NA,NA,NA,0.39102564102564097,0.3625000000000001,0.48785685762125275,0.17149079526286942,0.28344206561915036,0.3430618070282289,0.4660519639924367,0.3735487046282442,0.18336309297465617,0.4556161408001267,0.34619900823326893,0.41041151713080837,0.4084507042253521,0.3964079050222178,0.4873417721518987,0.5552063942464102,0.7752140335939385,0.41164828755443306,0.301724656533577,0.2475368839127627,0.48242025591477655,0.6803391181790349,15442.1244460542,9.644854407769989,0.37730100416558837,0.5957445867848503,0.4845442791084855,0.4311031849994446,0.4426025007804448,0.44556894170341876,NA,0.4771187053234441,0.42560641274792704,0.24225373179972215
ASM,American Samoa,High income,East Asia & Pacific,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,High income,Europe & Central Asia,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7412862813197718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09333497709719932,0.21428571428571427,0.04,0.23958333333333334,0.46153846153846156,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5246667500000001,0.11842105263157895,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65928.3071971004,11.096323176017068,NA,NA,0.3293913700501253,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,Lower middle income,Sub-Saharan Africa,0,0.2916666666666667,0.2222222222222222,0.3333333333333333,0.37037037037037035,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.48148148148148145,0.3333333333333333,0.16666666666666666,0.31838045345655036,0.33,0.44329896907216493,NA,NA,NA,NA,NA,NA,NA,0.1666666603088379,0.1666666603088379,0.01,0.01,0.01,0.15652173497681368,0.01,0.01,0.01,0.01,0.8,0.6666666412353516,0.19736842105263158,0.43333332061767577,0.01,0.555848424708509,0.6335672347128741,0.48099928622412563,0.4607246376811594,0.5220385298538052,0.5993593476994757,0.5795054050051829,0.4699366216588592,0.5968908727104818,0.558355071351849,0.3327467605183171,0.4101592115238817,0.3624229979466119,0.4443249884810321,0.3642599277978339,0.25,0.32466940264477884,0.4466052671639519,0.4243081180811808,0.39384,0.3007819363907925,0.6238474761681513,0.4845060153117025,0.4203042215005982,0.41825201825201824,0.3781741867785939,0.5003070624360286,0.7584221748400852,0.4833164812942366,0.39979035639413,0.15389408099688473,NA,NA,NA,0.41085843551507495,0.41836734693877553,0.22,0.453125,1,0.56,0.07407407407407406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8340000000000001,0.3815789473684211,1,0.7582417582417582,1,0.806556168601598,NA,0.8786399443106265,NA,0.8713884969535071,NA,NA,NA,0.3173076923076923,0.34375000000000006,0.4466499461721511,0.07832623595624737,0.3725123182895613,0.49380315382414014,0.25782826588748003,0.3807176519195601,0.542015916703487,0.17534182837550882,0.36381413804301194,0.32405812605374495,0.323943661971831,0.34762844087234346,0.3227848101265823,0.39625423751653127,0.23839433745695704,0.2208520955153648,0.37391061474337167,0.35731688036049425,0.35318599535605255,0.37121230152064877,7344.14537855393,8.901658727659125,0.40785238248008854,0.18493063157292594,0.5294142588614393,0.3610065597047784,0.362609185084613,0.41749380404190106,NA,0.37305038833473364,0.4925649892784175,0.2966044323052998
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37244897959183676,0.05,0.2708333333333334,0.6923076923076923,0.55,0.2592592592592593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333375,0.34210526315789475,0.75,0.6318681318681318,0.8272058823529411,NA,NA,NA,NA,NA,NA,0.9834162520729685,NA,0.5673076923076924,0.559375,0.7830539189242838,0.2527225973938617,0.5711557956784896,0.49296604759353974,0.5821331226349227,0.614603459921307,0.7040834084906193,0.7146960214757482,0.7029038630999365,0.8600196584177592,0.5985915492957746,0.7609606899844187,0.7056962025316456,0.8536985025035275,0.46298257911971663,0.4460034698709425,0.7440328446480957,0.5063398236519567,0.6016553838366172,0.522107542014741,29561.807425139,10.29423851748042,NA,NA,0.373744190216613,NA,NA,NA,NA,NA,NA,NA
ARB,Arab World,NA,NA,1,0.375,0.3333333333333333,0.14814814814814817,0.2037037037037037,0.12962962962962965,0.2222222222222222,0.2777777777777778,0.42592592592592593,0.3333333333333333,0.16666666666666666,0.12511540147581118,0.33,0.5824742268041238,NA,NA,NA,NA,NA,NA,NA,0.8222222137451172,0.8333333587646484,0.45833333969116213,0.44,0.75,0.45652172701570654,0.2777777735392253,0.35416666984558104,0.2083333396911621,0.3422619034947992,0.8,0.6666666412353516,0.47807018882349916,0.33333333015441896,0.5,0.3878690151327213,0.5163396820850636,0.4579300499643112,0.47868115942028977,0.500232272168329,0.5280430984274898,0.45615282096845844,0.3510746762193442,0.4946436816992458,0.42625441153905175,0.4512877939529676,0.46594389689158455,0.46242299794661196,0.457564122254646,0.3305204572803851,0.75,0.4528803769569843,0.4916083117673923,0.5165359778597787,0.3666400000000001,0.43327183271832714,0.3449914049070167,0.45566897557418884,0.48210562297043247,0.3364864864864865,0.5011542497376705,0.3006141248720573,0.5432835820895523,0.3433771486349848,0.6776729559748429,0.2547248182762201,NA,NA,0.01,0.3378363026540293,0.4183673469387755,0.315,0.41145833333333337,0.6923076923076923,0.6299999999999999,0.35185185185185186,0.6666666666666666,0.5,0.25,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.75,0.3333333333333333,0.5,0.625,1,0.6666666666666666,0.01,0.5,0.5,1,0.16666666666666666,0.5,0.01,0.25,0.5,0.48358337500000004,0.45394736842105265,0.75,0.3846153846153846,0.3455882352941177,1,NA,1,NA,1,0.740530303030303,0.9734660033167495,0.7024442082890542,0.4006410256410256,0.34687500000000004,0.39180812531963927,0.2764454168117785,0.31078783888996064,0.32372867426382645,0.39093114783425387,0.39655533223924805,0.4312258343858464,0.338683777197362,0.4326034649868509,0.34463784259204366,0.4330985915492958,0.4177087869137992,0.5047468354430379,0.48215998321356307,0.38996216621907165,0.40642914691591747,0.3899292168145222,0.4596319988121171,0.4529202409847557,0.34268896790125336,NA,NA,0.3478191035402453,0.506001280375042,0.47947128473863226,0.36416126575149826,0.4193102647271656,0.4713729133012996,0.4360456895642081,0.367585987390288,0.4188355302904651,0.27021546628827536
