var_name,api_id,variable,var_level,family_var,family_name,family_order,processing,description,description_short,source,benchmarked_ctf,benchmark_static_family_aggregate_download,benchmark_dynamic_indicator,benchmark_dynamic_family_aggregate,rank_id,etl_source
Degree of Integrity Average,NA,vars_anticorruption_avg,indicator,vars_anticorruption,Degree of Integrity,NA,NA,The cluster-level average is an unweighted average of the corresponding and included indicators of this cluster. See Methodological note for details on the inclusion criteria.,The cluster-level average is an unweighted average of the corresponding and included indicators for this cluster.,CLIAR,Yes,NA,NA,NA,1,NA
Absence of corruption,41794,wjp_rol_2,indicator,vars_anticorruption,Degree of Integrity,3,NA,It is an index of 4 items: Government officials in the executive branch do not use public office for private gain; Government officials in the judicial branch do not use public office for private gain; Government officials in the police & the military do not use public office for private gain; Government officials in the legislative branch do not use public office for private gain.,"Captures the extent to which state officials in the executive branch, the judicial branch, the legislative branch, and the police/military use public office for private gain","World Justice Project, Rule of Law",Yes,Yes,Yes,Yes,2,wb_api
Public sector corruption,NA,vdem_core_v2x_pubcorr,indicator,vars_anticorruption,Degree of Integrity,3,Invert,"To what extent do public sector employees grant favors in exchange for bribes, kickbacks, or other material inducements, and how often do they steal, embezzle, or misappropriate public funds or other state resources for personal or family use?",Captures the extent to which public employees engage in malfeasance,"V-Dem, Variety of Democracy database",Yes,Yes,Yes,Yes,3,vdem
Executive corruption,NA,vdem_core_v2x_execorr,indicator,vars_anticorruption,Degree of Integrity,3,Invert,"How routinely do members of the executive, or their agents grant favors in exchange for bribes, kickbacks, or other material inducements, and how often do they steal, embezzle, or misappropriate public funds or other state resources for personal or family use?",Captures the extent to which members of the executive engage in malfeasance,"V-Dem, Variety of Democracy database",Yes,Yes,Yes,Yes,4,vdem
Legislative corruption,NA,vdem_core_v2lgcrrpt,indicator,vars_anticorruption,Degree of Integrity,3,NA,"Do members of the legislature abuse their position for financial gain? This includes any of the following: (a) accepting bribes, (b) helping to obtain government contracts for firms that the legislator (or his/her family/friends/political supporters) own, (c) doing favors for firms in exchange for the opportunity of employment after leaving the legislature, (d) stealing money from the state or from campaign donations for personal use.",Captures the extent to which members of the legislative engage in malfeasance,"V-Dem, Variety of Democracy database",Yes,Yes,Yes,Yes,5,vdem
Government regulations are applied and enforced without improper influence,NA,wjp_rol_6_2,indicator,vars_anticorruption,Degree of Integrity,3,NA,"Measures whether the enforcement of regulations is subject to bribery or improper influence by private interests, and whether public services, such as the issuance of permits and licenses and the administration of public health services, are provided without bribery or other inducements.",Measures whether the enforcement of regulations is subject to bribery or improper influence by private interests and whether public service are provided without bribery or other inducements,"World Justice Project, Rule of Law",Yes,Yes,Yes,Yes,6,wb_api
Executive bribery and corrupt exchanges,41882,vdem_core_v2exbribe,indicator,vars_anticorruption,Degree of Integrity,3,NA,"How routinely do members of the executive (the head of state, the head of government, and cabinet ministers), or their agents, grant favors in exchange for bribes, kickbacks, or other material inducements? Responses: 0: It is routine and expected. 1: It happens more often than not in dealings with the executive. 2: It happens but is unpredictable: those dealing with the executive find it hard to predict when an inducement will be necessary. 3: It happens occasionally but is not expected. 4: It never, or hardly ever, happens.","Measures how frequently members of the executive grant favors in exchange for bribes, kickbacks, or other material inducements.","V-Dem, Variety of Democracy database",No,NA,NA,NA,NA,vdem
Political corruption,41854,vdem_core_v2x_corr,indicator,vars_anticorruption,Degree of Integrity,3,NA,"How pervasive is political corruption? Clarification: The directionality of the V-Dem corruption index runs from less corrupt to more corrupt unlike the other V-Dem variables that generally run from less democratic to more democratic situation. The corruption index includes measures of six distinct types of corruption that cover both different areas and levels of the polity realm, distinguishing between executive, legislative and judicial corruption. Within the executive realm, the measures also distinguish between corruption mostly pertaining to bribery and corruption due to embezzlement. Finally, they differentiate between corruption in the highest echelons of the executive at the level of the rulers/cabinet on the one hand, and in the public sector at large on the other. The measures thus tap into several distinguished types of corruption: both ‘petty’ and ‘grand’; both bribery and theft; both corruption aimed and influencing law making and that affecting implementation. Aggregation: The index is arrived at by taking the average of (a) public sector corruption index (v2x_pubcorr); (b) executive corruption index (v2x_execorr); (c) the indicator for legislative corruption (v2lgcrrpt); and (d) the indicator for judicial corruption (v2jucorrdc). In other words, these four different government spheres are weighted equally in the resulting index. We replace missing values for countries with no legislature by only taking the average of a, b and d.","Captures the pervasiveness of political corruption, aggregating several sub-indicators that capture both petty corruption and grand corruption","V-Dem, Variety of Democracy database",No,NA,NA,NA,NA,vdem
Firms identifying corruption as a major constraint,289,wb_es_ic_frm_corr_corr11,indicator,vars_anticorruption,Degree of Integrity,3,Invert,"Percentage of firms identifying corruption as a ""major"" or ""very severe"" obstacle.","Measures the percentage of firms identifying corruption as a ""major"" or ""very severe"" obstacle",Enterprise Surveys,No,NA,NA,NA,NA,wb_api
Energy and Environment Institutions Average,NA,vars_climate_avg,indicator,vars_climate,Energy and Environment Institutions,NA,NA,The cluster-level average is an unweighted average of the corresponding and included indicators of this cluster. See Methodological note for details on the inclusion criteria.,The cluster-level average is an unweighted average of the corresponding and included indicators for this cluster.,CLIAR,Yes,NA,NA,NA,1,NA
